Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
EUROPA CITY VILNIUS,2 salė,,Y,Y,Teatro stilius: 35; Klasės stilius: 25; U stilius: 15; Apvalaus stalo stilius: 20; Banketo stilius: 20,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
EUROPA ROYALE,Konferencijų salė,,Y,Y,Teatro stilius: 50; Klasės stilius: 45; U stilius: 25; Apvalaus stalo stilius: 20; Banketo stilius: 45,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Lazerinė rodyklė, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas"
EUROPA ROYALE,Posėdžių salė,,Y,Y,Teatro stilius: 20; Klasės stilius: 12; U stilius: 10; Apvalaus stalo stilius: 10; Banketo stilius: 15,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Tribūna, Video grotuvas"
EUROPA ROYALE DRUSKININKAI,1,,Y,Y,Teatro stilius: 60; Klasės stilius: 40; U stilius: 24,
EUROPA ROYALE DRUSKININKAI,1 + 2,,Y,Y,Teatro stilius: 126; Klasės stilius: 60; U stilius: 32,
EUROPA ROYALE DRUSKININKAI,1+2+3+4,,Y,Y,Teatro stilius: 370; Klasės stilius: 112,
EUROPA ROYALE DRUSKININKAI,2,,Y,Y,Teatro stilius: 30; Klasės stilius: 16; U stilius: 16,
EUROPA ROYALE DRUSKININKAI,3,,Y,Y,Teatro stilius: 126; Klasės stilius: 60; U stilius: 32,
EUROPA ROYALE DRUSKININKAI,4,,Y,Y,Teatro stilius: 126; Klasės stilius: 60; U stilius: 32,
EUROPA ROYALE DRUSKININKAI,5,,Y,Y,Teatro stilius: 54; Klasės stilius: 24; U stilius: 18,
EUROPA ROYALE DRUSKININKAI,6,,Y,Y,Teatro stilius: 54; Klasės stilius: 24; U stilius: 29,
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 8,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 200,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 250,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 200,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE MARIJAMPOLĖ,Riga,70,Y,Y,Teatro stilius: 70; Klasės stilius: 40; U stilius: 30; Banketo stilius: 50,
EUROPA ROYALE MARIJAMPOLĖ,Talinn,40,Y,Y,Banketo stilius: 20,
EUROPA ROYALE MARIJAMPOLĖ,Vilnius,185,Y,Y,Teatro stilius: 200; Klasės stilius: 80; U stilius: 100; Banketo stilius: 140,
EUROPA ROYALE MARIJAMPOLĖ,Vilnius I,130,Y,Y,Teatro stilius: 120; Klasės stilius: 60; U stilius: 90; Banketo stilius: 100,
EUROPA ROYALE MARIJAMPOLĖ,Vilnius II,50,Y,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 40; Banketo stilius: 40,
EUROPA STAY VILNIUS,I,,,Y,Klasės stilius: 20,
EUROPA STAY VILNIUS,II,,,Y,Klasės stilius: 20,
EUROPA STAY VILNIUS,III,,,Y,Klasės stilius: 30,
EUROPA STAY VILNIUS,IV,,,Y,Klasės stilius: 40,
EUTERPĖ,,,,Y,Teatro stilius: 50; U stilius: 30; Banketo stilius: 30,TV
GABIJA,Didžioji salė,140,Y,Y,Teatro stilius: 190; Klasės stilius: 100; U stilius: 80; Apvalaus stalo stilius: 100; Banketo stilius: 150,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Lazerinė rodyklė, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Įranga garso įrašymui"
GABIJA,Mažoji salė,70,Y,Y,Teatro stilius: 55; Klasės stilius: 35; U stilius: 30; Apvalaus stalo stilius: 36; Banketo stilius: 36,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Lazerinė rodyklė, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Tribūna, Įranga garso įrašymui"
GABRIELLA,,,Y,Y,Klasės stilius: 25,
GALIA,,,Y,Y,Teatro stilius: 120; Klasės stilius: 90; Apvalaus stalo stilius: 28; Banketo stilius: 32,
GAMANTA,,,Y,Y,Teatro stilius: 30; Klasės stilius: 30; U stilius: 30; Apvalaus stalo stilius: 30; Banketo stilius: 30,
GILĖ,,,,Y,U stilius: 60,Multimedia
GILIJA,,,Y,Y,Banketo stilius: 80,
GILIJA,,,Y,Y,Banketo stilius: 16,
GILIJA,,,Y,Y,Banketo stilius: 30,
GRAFAITĖS SVETAINĖ,,,Y,Y,U stilius: 25,
GRAFO ZUBOVO,,,,Y,Teatro stilius: 30,"Multimedia, TV"
GRATA HOTEL,,,,Y,Teatro stilius: 100; Klasės stilius: 34; U stilius: 28; Apvalaus stalo stilius: 42; Banketo stilius: 120,
GREEN VILNIUS HOTEL,,,,Y,Banketo stilius: 80,"Ekranas, Video projektorius"
GRĖJAUS NAMAS,,,Y,Y,Teatro stilius: 60; Klasės stilius: 50; U stilius: 25,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, TV"
GROTTHUSS HOTEL,Konrado,70,Y,Y,Teatro stilius: 30; Klasės stilius: 20; Apvalaus stalo stilius: 20; Banketo stilius: 70,"CD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Įranga garso įrašymui"
HBH JUOZO ALAUS BRAVORO VIEŠBUTIS,,,Y,Y,Klasės stilius: 50,
HERMIS,,,,Y,Apvalaus stalo stilius: 25,
HOLIDAY INN VILNIUS,Columbus,,,Y,Teatro stilius: 250; Klasės stilius: 100; U stilius: 50; Apvalaus stalo stilius: 25; Banketo stilius: 140,
HOLIDAY INN VILNIUS,Cousteau,,,Y,Teatro stilius: 40; Klasės stilius: 18; U stilius: 18; Apvalaus stalo stilius: 220; Banketo stilius: 25,
HOLIDAY INN VILNIUS,Heyerdahl,,,Y,Teatro stilius: 30; Klasės stilius: 12; U stilius: 14; Banketo stilius: 16,
HOLIDAY INN VILNIUS,Heyerdahl + Costeau,,,Y,Teatro stilius: 90; Klasės stilius: 40; U stilius: 36; Apvalaus stalo stilius: 25,
HOLIDAY INN VILNIUS,Livingstone,,,Y,Teatro stilius: 30; Klasės stilius: 12; U stilius: 14; Banketo stilius: 16,
HOTEL TILTO,,,,Y,U stilius: 15,
IBIS KAUNAS CENTRE,"Salė ""Lionas""",,,Y,Teatro stilius: 12,"Ekranas, Skaidrių projektorius, Telefonas, Video projektorius"
IBIS KAUNAS CENTRE,"Salė ""Tulūza""",,,Y,Teatro stilius: 18,"Ekranas, Skaidrių projektorius, Telefonas, Video projektorius"
IVOLITA,,,,Y,Klasės stilius: 20,
JUKNAIČIAI,,,Y,Y,Teatro stilius: 50,
JŪRATĖ,,,Y,Y,Teatro stilius: 100,
JURBARKAS,,,Y,Y,Banketo stilius: 20,
KAROLINA,Didžioji konferencijų salė,90,Y,Y,Teatro stilius: 600; Klasės stilius: 248; U stilius: 80,"Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
KAROLINA,Konferencijų salė 200,,Y,Y,Teatro stilius: 147; Klasės stilius: 72; U stilius: 48,
KAROLINA,Mėlynoji salė,,Y,Y,Teatro stilius: 50; Klasės stilius: 24; U stilius: 20,
KAROLINA,Pirmo aukšto konferencijų salė,,Y,Y,Teatro stilius: 200; Klasės stilius: 80; U stilius: 50,
KAROLINA,Semianarų salė 4,,Y,Y,Teatro stilius: 20; Klasės stilius: 10; U stilius: 8,
KAROLINA,Seminarų salė 2,,Y,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 20,
KAROLINA,Seminarų salė 3,,Y,Y,Teatro stilius: 50; Klasės stilius: 26; U stilius: 20,
KAROLINA,Seminarų salė 5,,Y,Y,Teatro stilius: 53; Klasės stilius: 30; U stilius: 24,
KAROLINA,Seminarų salė 6,,Y,Y,Teatro stilius: 70; Klasės stilius: 40; U stilius: 22,
KAROLINA,Seminarų salė 7,,Y,Y,Teatro stilius: 75; Klasės stilius: 32; U stilius: 22,
KAROLINA,Siminarų salė 1,,Y,Y,Teatro stilius: 20,
KAUNAS,Didžioji + naujoji,,Y,Y,Teatro stilius: 150; Klasės stilius: 80; Banketo stilius: 100,
KAUNAS,Didžioji salė,110,Y,Y,Teatro stilius: 150; Klasės stilius: 80; Banketo stilius: 100,"DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Mikrofonas, Multimedia, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
KAUNAS,Mažoji,,,Y,Teatro stilius: 30,
KAUNAS,Naujoji,,,Y,Teatro stilius: 150,
KAUNAS,Pasitarimų kambarys,,Y,Y,U stilius: 20,"DVD grotuvas, Ekranas, Grafinis projektorius, Mikrofonas, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Tribūna, Įranga garso įrašymui"
KERPĖ,Konferencijų salė,,,Y,Klasės stilius: 40,
KERPĖ,Konferencijų salė,,,Y,Klasės stilius: 20,
KETURI KALNAI,Didžioji salė,,,Y,Teatro stilius: 100; Klasės stilius: 30; U stilius: 30; Apvalaus stalo stilius: 32,"Ekranas, Rašymo lenta, Sinchroninis vertimas"
KETURI KALNAI,Mažoji salė,,,Y,Teatro stilius: 25; Klasės stilius: 12; U stilius: 20; Apvalaus stalo stilius: 16,"Ekranas, Rašymo lenta, Sinchroninis vertimas"
KLAIPĖDA,Didžioji,161,Y,Y,Teatro stilius: 220; Klasės stilius: 70; U stilius: 45; Apvalaus stalo stilius: 40; Banketo stilius: 100,"Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
KLAIPĖDA,Mažoji,27,Y,Y,Teatro stilius: 25; Klasės stilius: 15; U stilius: 10; Apvalaus stalo stilius: 10,"Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
KLAIPĖDA,Naujoji,125,Y,Y,Teatro stilius: 100; Klasės stilius: 65; U stilius: 40; Apvalaus stalo stilius: 40; Banketo stilius: 70,"Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas"
KLAIPĖDA,Pasitarimų kambarys,22,Y,Y,Teatro stilius: 20; Klasės stilius: 15; U stilius: 10; Apvalaus stalo stilius: 10,"Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
KUPIŠKIO VERSLO IR TECHNOLOGIJOS MOKYKLOS VIEŠBUTIS,,,,Y,Klasės stilius: 30,
LAŠAS,,,Y,Y,Teatro stilius: 15,
LE MERIDIEN VILNIUS,Adagio,91,Y,Y,Teatro stilius: 110; U stilius: 30; Apvalaus stalo stilius: 20; Banketo stilius: 50,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Arnika,80,Y,Y,Teatro stilius: 50; Klasės stilius: 40; U stilius: 24; Apvalaus stalo stilius: 30; Banketo stilius: 30,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Belvedere,630,Y,Y,Teatro stilius: 650; Klasės stilius: 450; U stilius: 120; Apvalaus stalo stilius: 100; Banketo stilius: 480,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Grand Opera,810,Y,Y,Teatro stilius: 1000; Klasės stilius: 650; Banketo stilius: 600,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas"
LE MERIDIEN VILNIUS,Hedera,52,Y,Y,Teatro stilius: 30; Klasės stilius: 20; U stilius: 30; Apvalaus stalo stilius: 20; Banketo stilius: 20,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Inula,24,Y,Y,Teatro stilius: 16; Klasės stilius: 12; U stilius: 10; Apvalaus stalo stilius: 12; Banketo stilius: 8,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Linaria,37,Y,Y,Teatro stilius: 16; Klasės stilius: 12; U stilius: 10; Apvalaus stalo stilius: 12; Banketo stilius: 8,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Salvia,408,Y,Y,Teatro stilius: 300; Klasės stilius: 220; U stilius: 80; Apvalaus stalo stilius: 100; Banketo stilius: 180,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Tilia,690,Y,Y,Teatro stilius: 600; Klasės stilius: 500; Banketo stilius: 400,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Viola,60,Y,Y,Teatro stilius: 40; Klasės stilius: 30; U stilius: 24; Apvalaus stalo stilius: 20; Banketo stilius: 20,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
LE MERIDIEN VILNIUS,Virtuoso,115,Y,Y,Apvalaus stalo stilius: 28; Banketo stilius: 28,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas"
LIETUVA,,,Y,Y,Teatro stilius: 35,
LIETUVA,,,Y,Y,Teatro stilius: 250,
LINELIS,,,Y,Y,Teatro stilius: 60,
LIUKRENA,,,,Y,Klasės stilius: 24,"Ekranas, Grafinis projektorius, Multimedia, Video grotuvas"
LŪGNĖ,,,,Y,Klasės stilius: 15,
LŪNA,,,,Y,Teatro stilius: 50,"DVD grotuvas, Mikrofonas, Rašymo lenta, Video grotuvas, Video projektorius"
MABRE RESIDENCE HOTEL,,,,Y,Teatro stilius: 80; Klasės stilius: 40; U stilius: 32; Apvalaus stalo stilius: 36,"Ekranas, Rašymo lenta, TV, Video projektorius"
MAGNISIMA,,,,Y,Teatro stilius: 60; Klasės stilius: 60; U stilius: 60; Apvalaus stalo stilius: 60; Banketo stilius: 60,
MAGNUS HOTEL,,,,Y,Teatro stilius: 50; Klasės stilius: 50,"Grafinis projektorius, Mikrofonas, Multimedia, Video grotuvas"
MARGIS,,,,Y,Klasės stilius: 140; Apvalaus stalo stilius: 25,"DVD grotuvas, Ekranas, Mikrofonas, Multimedia, Popierius, Rašymo lenta, Skaidrių projektorius, Video projektorius"
MARTIALIS,Didžioji salė,83,,Y,Teatro stilius: 65; Klasės stilius: 24; U stilius: 30; Apvalaus stalo stilius: 36; Banketo stilius: 36,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Kompiuteris, Multimedia, Oro kondicionierius, Rašymo lenta, TV"
MARTIALIS,Mažoji salė,,,Y,Teatro stilius: 20; Klasės stilius: 8; U stilius: 16; Apvalaus stalo stilius: 16; Banketo stilius: 16,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Kompiuteris, Multimedia, Oro kondicionierius, Rašymo lenta, TV"
MARTIALIS,Restoranas,200,Y,,U stilius: 120; Banketo stilius: 120,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Kompiuteris, Multimedia, Oro kondicionierius, Rašymo lenta, TV"
MARTIALIS,Stiklo salė,70,,Y,Teatro stilius: 60; Klasės stilius: 20; U stilius: 22; Apvalaus stalo stilius: 30; Banketo stilius: 30,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Kompiuteris, Multimedia, Oro kondicionierius, Rašymo lenta, TV"
MEDŪZA,,,Y,Y,Teatro stilius: 60; Klasės stilius: 28; U stilius: 32; Banketo stilius: 40,"Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
MINOTEL,,30,Y,Y,Teatro stilius: 30; Klasės stilius: 20; U stilius: 20; Apvalaus stalo stilius: 15; Banketo stilius: 30,"Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, Telefonas"
MORENA,,,Y,Y,Teatro stilius: 120; Klasės stilius: 80; U stilius: 50; Apvalaus stalo stilius: 50; Banketo stilius: 80,
MORENA,,,Y,Y,Teatro stilius: 20; Klasės stilius: 18; U stilius: 14; Apvalaus stalo stilius: 16; Banketo stilius: 16,
NARUTIS,,,Y,Y,Teatro stilius: 120; Klasės stilius: 70; U stilius: 70; Apvalaus stalo stilius: 120,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Įranga garso įrašymui"
NARUTIS,,,Y,Y,Teatro stilius: 55; Klasės stilius: 30; U stilius: 25; Apvalaus stalo stilius: 25,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
NARUTIS,,,Y,Y,Teatro stilius: 35; Klasės stilius: 25; U stilius: 20; Apvalaus stalo stilius: 30,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
NATIONAL HOTEL,Europa,,Y,Y,Teatro stilius: 40; Klasės stilius: 28; U stilius: 26; Apvalaus stalo stilius: 30; Banketo stilius: 35,
NATIONAL HOTEL,San Marino,,Y,Y,Teatro stilius: 40; Klasės stilius: 26; U stilius: 20; Apvalaus stalo stilius: 24; Banketo stilius: 35,
NAUJOSIOS AKMENĖS VIEŠBUTIS,konferencijų salė,,Y,Y,Klasės stilius: 80; Apvalaus stalo stilius: 14,
NAVALIS,A,,,Y,Teatro stilius: 120; Klasės stilius: 60,"Ekranas, Multimedia, Rašymo lenta, Skaidrių projektorius, TV, Video projektorius"
NAVALIS,A + B + C,,,Y,Teatro stilius: 300; Klasės stilius: 150,"Ekranas, Multimedia, Rašymo lenta, TV, Video projektorius"
NAVALIS,B,,,Y,Teatro stilius: 130; Klasės stilius: 65,"CD grotuvas, Ekranas, Multimedia, Rašymo lenta, Skaidrių projektorius, TV, Video projektorius"
NAVALIS,C,,,Y,Teatro stilius: 120; Klasės stilius: 60,"CD grotuvas, Ekranas, Multimedia, Rašymo lenta, Skaidrių projektorius, TV, Video projektorius"
